product-link href,media-image__image src,product-link,money-amount__main,product-grid-product-info-colors__text
https://www.zara.com/de/en/herringbone-straight-leg-jeans-p00840418.html,https://static.zara.net/assets/public/6595/c88e/a7f24fa3b39b/f9d72ccd8e9f/00840418712-e1/00840418712-e1.jpg?ts=1744625938899&w=289,HERRINGBONE STRAIGHT-LEG JEANS,49.95 EUR,
https://www.zara.com/de/en/textured-knit-polo-shirt-p02142417.html,https://static.zara.net/assets/public/7084/aa0a/c2d743c19cf3/60033cdbfbdb/02142417712-e1/02142417712-e1.jpg?ts=1744702481297&w=289,TEXTURED KNIT POLO SHIRT,39.95 EUR,1
https://www.zara.com/de/en/double-breasted-button-blazer-p04518907.html,https://static.zara.net/assets/public/f488/4159/8bcd47c0a3b4/46ffec8174ca/04518907401-e1/04518907401-e1.jpg?ts=1744732438758&w=289,DOUBLE-BREASTED BUTTON BLAZER,119.00 EUR,
https://www.zara.com/de/en/100-linen-shirt-p03090123.html,https://static.zara.net/assets/public/cb01/791c/1d4d42a49f27/28b42db55f40/05070123800-e1/05070123800-e1.jpg?ts=1736432614999&w=289,100% LINEN SHIRT,45.95 EUR,3
https://www.zara.com/de/en/crochet-textured-shirt-p03772410.html,https://static.zara.net/assets/public/5dea/9479/a7684547ad1c/791c3486f911/03772410251-e1/03772410251-e1.jpg?ts=1741689002321&w=289,CROCHET TEXTURED SHIRT,39.95 EUR,1
https://www.zara.com/de/en/basic-slim-fit-t-shirt-p05584361.html,https://static.zara.net/assets/public/57eb/0774/96d649bd8a8d/91f58c58a250/05584401526-e1/05584401526-e1.jpg?ts=1744732411386&w=289,BASIC SLIM FIT T-SHIRT,12.95 EUR,7
https://www.zara.com/de/en/heavy-weight-t-shirt-p04087484.html,https://static.zara.net/assets/public/44d9/fb62/d0a04ef4b861/c2928ecc630d/04087484681-e1/04087484681-e1.jpg?ts=1744625963850&w=289,HEAVY WEIGHT T-SHIRT,22.95 EUR,1
https://www.zara.com/de/en/100-linen-shirt-p03090123.html,https://static.zara.net/assets/public/c23b/b00e/f48d49f6bcf6/28a333d03e17/05070123052-e1/05070123052-e1.jpg?ts=1736432624416&w=289,100% LINEN SHIRT,45.95 EUR,3
https://www.zara.com/de/en/heavy-weight-t-shirt-p04087484.html,https://static.zara.net/assets/public/2643/6a7f/5aef4dc7b38a/aa9a26b2c663/04087484251-e1/04087484251-e1.jpg?ts=1744702485094&w=289,HEAVY WEIGHT T-SHIRT,22.95 EUR,1
https://www.zara.com/de/en/100-linen-shirt-p03090123.html,https://static.zara.net/assets/public/1b1d/2179/ca0048b194b8/8f3ade009bb9/05070123737-e1/05070123737-e1.jpg?ts=1736432626330&w=289,100% LINEN SHIRT,45.95 EUR,3
https://www.zara.com/de/en/100-linen-shirt-p03090123.html,https://static.zara.net/assets/public/12b2/6192/d49e4a28852d/083ffd498d54/05070123250-e1/05070123250-e1.jpg?ts=1736432631541&w=289,100% LINEN SHIRT,45.95 EUR,3
https://www.zara.com/de/en/linen-cotton-polo-shirt-p04853411.html,https://static.zara.net/assets/public/c0ae/aef9/3a16446f80eb/23e84634b885/04853411401-e1/04853411401-e1.jpg?ts=1744702489391&w=289,LINEN/COTTON POLO SHIRT,39.95 EUR,
https://www.zara.com/de/en/100-linen-bermuda-shorts-p05070118.html,https://static.zara.net/assets/public/c8f0/95d9/f4994782b67d/2032e69ed6e9/05070121052-e1/05070121052-e1.jpg?ts=1737112472506&w=289,100% LINEN BERMUDA SHORTS,39.95 EUR,3
https://www.zara.com/de/en/100-linen-bermuda-shorts-p05070118.html,https://static.zara.net/assets/public/4260/2fea/d41e4775a4f3/534e390d0075/05070121800-e1/05070121800-e1.jpg?ts=1737112472776&w=289,100% LINEN BERMUDA SHORTS,39.95 EUR,3
https://www.zara.com/de/en/pinstripe-suit-blazer-p04515908.html,https://static.zara.net/assets/public/f7f9/982f/688645f4a209/37a873dcf4c0/04515908401-e1/04515908401-e1.jpg?ts=1744732430107&w=289,PINSTRIPE SUIT BLAZER,99.95 EUR,
https://www.zara.com/de/en/pinstriped-suit-trousers-p04516908.html,https://static.zara.net/assets/public/cfcb/bc53/432149e1b499/25e108b455eb/04516908401-e1/04516908401-e1.jpg?ts=1744732428833&w=289,PINSTRIPED SUIT TROUSERS,49.95 EUR,
https://www.zara.com/de/en/100-linen-bermuda-shorts-p05070118.html,https://static.zara.net/assets/public/7fb4/a7c6/db804d8da41c/48522eaa584b/05070121737-e1/05070121737-e1.jpg?ts=1737112472798&w=289,100% LINEN BERMUDA SHORTS,39.95 EUR,3
https://www.zara.com/de/en/flare-fit-jeans-p05585444.html,https://static.zara.net/assets/public/c2ec/10fe/7c39423f9090/495a6884efd6/00840445400-e1/00840445400-e1.jpg?ts=1744112945477&w=289,FLARE FIT JEANS,49.95 EUR,5
https://www.zara.com/de/en/relaxed-fit-seersucker-trousers-p04092437.html,https://static.zara.net/assets/public/6daa/251c/67d145949a65/344cdaab6964/04092437043-e1/04092437043-e1.jpg?ts=1744212346001&w=289,RELAXED FIT SEERSUCKER TROUSERS,39.95 EUR,1
https://www.zara.com/de/en/basic-trainers-p12200520.html,https://static.zara.net/assets/public/c3fc/5732/1b27442dbbbe/ea3751c51119/12200520001-e1/12200520001-e1.jpg?ts=1728569702955&w=289,BASIC TRAINERS,29.95 EUR,5
https://www.zara.com/de/en/classic-flare-fit-jeans-p00840439.html,https://static.zara.net/assets/public/ce32/f7d2/8b574a1d8f2c/1a1728072510/00840439406-e1/00840439406-e1.jpg?ts=1744112921482&w=289,CLASSIC FLARE FIT JEANS,49.95 EUR,1
https://www.zara.com/de/en/relaxed-fit-raised-shirt-p00881412.html,https://static.zara.net/assets/public/9294/7530/3a1e4f7d8829/e387f9a29dbd/00881412102-e1/00881412102-e1.jpg?ts=1744112895706&w=289,RELAXED FIT RAISED SHIRT,49.95 EUR,
https://www.zara.com/de/en/relaxed-fit-bermuda-shorts-p09252406.html,https://static.zara.net/assets/public/8f06/80f9/52bb41bf854b/17e43571bb05/09252406806-e1/09252406806-e1.jpg?ts=1736847182181&w=289,RELAXED FIT BERMUDA SHORTS,29.95 EUR,3
https://www.zara.com/de/en/relaxed-fit-bermuda-shorts-p09252406.html,https://static.zara.net/assets/public/2f82/054a/be4f49bea266/7c5257525dd6/09252406800-e1/09252406800-e1.jpg?ts=1736847183990&w=289,RELAXED FIT BERMUDA SHORTS,29.95 EUR,3
https://www.zara.com/de/en/relaxed-fit-bermuda-shorts-p09252406.html,https://static.zara.net/assets/public/02cd/7e89/2d624615a685/86c82895dab4/09252406707-e1/09252406707-e1.jpg?ts=1736847175745&w=289,RELAXED FIT BERMUDA SHORTS,29.95 EUR,3
https://www.zara.com/de/en/relaxed-fit-bermuda-shorts-p09252406.html,https://static.zara.net/assets/public/ad87/484b/8967480fa632/cc6f87a2e9c3/09252406500-e1/09252406500-e1.jpg?ts=1736847177408&w=289,RELAXED FIT BERMUDA SHORTS,29.95 EUR,3
https://www.zara.com/de/en/100-linen-pleated-trousers-p04410234.html,https://static.zara.net/assets/public/2db4/ea5c/8fc0455e8d25/bd7f13e67435/04410234052-e1/04410234052-e1.jpg?ts=1743693212128&w=289,100% LINEN PLEATED TROUSERS,49.95 EUR,3
https://www.zara.com/de/en/basic-slim-fit-t-shirt-p05584361.html,https://static.zara.net/assets/public/369c/031d/d4884682a8cd/d4730b777104/05584401403-e1/05584401403-e1.jpg?ts=1743693147365&w=289,BASIC SLIM FIT T-SHIRT,12.95 EUR,7
